Time,Run,Nature,Culture,LTM,MaxLTM,RC,UR
0,1,0,0,49.5,49.5,0.7,8
50,1,0,0,41.9,49.8,0.7,62.71
100,1,0,0,39.3,49.9,0.68,41.69
150,1,0,0,39,50.3,0.7,37.48
200,1,0,0,39.5,49.7,0.64,61.81
250,1,0,0,43.2,50.4,0.67,43.21
300,1,0,0,32.6,49.7,0.76,63.21
350,1,0,0,34.3,51.4,0.8,59.46
400,1,0,0,37,52.2,0.89,39.2
450,1,0,0,32.7,54.1,1,60.71
500,1,0,0,30.5,53.2,0.9,60.6
550,1,0,0,39.1,54,0.86,54.99
600,1,0,0,36.1,54,0.96,61.66
650,1,0,0,31.8,55,1,60.44
700,1,0,0,39.1,56.3,1,63.8
750,1,0,0,35.7,55.4,0.94,60.84
800,1,0,0,39.1,55.5,0.9,57.64
850,1,0,0,38.7,57,1,61.87
900,1,0,0,36.2,58,0.72,63.8
950,1,0,0,36,57.6,0.72,60.89
1000,1,0,0,48.9,59.1,0.49,43.04
1050,1,0,0,44.6,57.5,0.37,35.62
1100,1,0,0,37.9,59,0.69,61.56
1150,1,0,0,36.2,59.3,0.85,57.47
1200,1,0,0,34.8,57.9,0.76,62.68
1250,1,0,0,35.5,58.9,0.86,64
1300,1,0,0,33,56.7,1,62.34
1350,1,0,0,30.4,55.7,1,62.64
1400,1,0,0,41.5,55.6,1,61.12
1450,1,0,0,36.8,55.7,0.97,63.7
1500,1,0,0,35.7,56,1,63.4
1550,1,0,0,37.1,55.1,0.95,62.76
1600,1,0,0,40.4,54,0.8,62.42
1650,1,0,0,33.8,53,0.85,58.92
1700,1,0,0,33.8,53.9,0.88,50.34
1750,1,0,0,39,55.7,0.91,47.09
1800,1,0,0,37,56.5,1,61.96
1850,1,0,0,35.9,55.4,0.75,62.81
1900,1,0,0,41.9,54.3,0.68,36.54
1950,1,0,0,34.4,54,0.8,56.31
2000,1,0,0,41.1,51.3,0.73,50.42
2050,1,0,0,37.6,51.7,0.64,55.67
2100,1,0,0,42.5,52,0.6,53.94
